S_ID,C_ID,SCHL,Region,Division,School_size,Urbanicity,S1,S2_1,S2_2,S2_3,S2_4,S2_5,S2_6,S2_7,S2_7a,S3,S4_1,S4_2,S4_3,S4_4,S4_5,S4_6,S4_7,S4_8,S4_8a,S5_1,S5_2,S5_3,S5_4,S5_5,S5_6,S5_7,S5_8,S5_9,S5_9a,S6,S6a,S7_1,S7_2,S7_3,S7_4,S7_5,S7_6,S7_7,S7_7a,S8,S9a,S9b,S9c,S9d,S9e,S10a,S10_1,S10_2,S10_3,S10_4,S11_1,S11_2,S11_3,S11_4,S11_5,S11_6,S11_7,S11_7a,S12_1,S12_1a,S12_1b,S12_2,S12_2a,S12_2b,S12_2c,S12_3,S12_3a,S12_3b,S12_3c,S12_4,S12_4a,S12_4b,S12_4c,S12_5,S13,S14,S15_1,S15_2,S15_3,S15_4,S15_5,S15_6,S15_7,S15_7a,S16_1,S16_2,S16_3,S16_4,S16_4a,S17_1,S17_2,S17_3,S17_4,S17_5,S17_6,S17_7,S17_8,S17_8a,S18_1,S18_2,S18_3,S18_4,S18_5,S18_6,S18_7,S18_8,S18_8a,S19,S20_1,S20_2,S20_3,S20_4,S20,S21,S21a,S22,S23,S23a,S24,S25,S26,S26a,S26b,S27,S28,S29,S30,S31,S_Coder
1,1,101,4,8,3,1,50,0,0,0,0,1,0,0, ,1,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,0,0,1,"I want to learn more languages, and this was the only one offered which I do not know already.",10,"Language is what differentiates us from animals, it is the essence of civilization",1,0,0,0,0,0,0, ,4,100,-2,-2,-2,-2,100,4,4,4,4,3,1,2,1,1,1,-1, ,0,-2,-2,0,-2,-2,-2,1,90,100,-2,1,110,930,-2,0,1,2,2,3,1,1,1,2,7,Reading/ learning new languages,0,1,0,0, ,-1,-1,-1,-1,-1,-1,-1,-1, ,0,0,0,0,0,0,0,1,No more classes for the languages I wish to learn,0,4,4,4,4,16,6,Doctorate of philosohy,239,-2, ,239,103,3, , , ,0,1,1996,I also enjoy the study of fictional languages and have constructed my own!,1
2,1,101,4,8,3,1,50,0,0,1,0,0,0,0, ,1,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,1,0,0, ,10,Cultural awareness,1,0,0,0,0,0,0, ,4,100,-2,-2,-2,-2,100,4,3,3,3,5,2,3,2,1,1,-1, ,1,100,-2,1,100,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,1,2,4,3,1,1,2,2,-1, ,1,1,0,0, ,0,0,0,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,2, ,239,-2, ,239,239,3, , , ,0,2,1996, ,1
3,1,101,4,8,3,1,50,0,0,1,0,1,0,0, ,1,1,0,0,1,1,0,0,0, ,0,0,1,1,0,0,1,0,0, ,10, ,0,0,0,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,4,5,3,5,1,1,2,-1, ,0,1,0,0, ,1,0,0,1,0,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,5, ,239,-2, ,239,239,1, , , ,0,1,1988, ,1
4,1,101,4,8,3,1,50,0,0,1,0,0,0,0, ,2,1,0,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0, ,7,"Opportunity, bragging",1,0,0,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,4,2,4,1,1,1,2,-1, ,1,0,0,0, ,1,0,0,0,0,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,6, ,239,-2, ,239,239,1, , ,American,0,1,1992, ,1
6,1,101,4,8,3,1,50,0,0,0,0,1,0,0, ,2,1,1,0,0,1,0,1,0, ,0,0,1,0,1,1,0,0,1,Friends speak it.,9,people with more language tend to do better,1,0,0,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,0,4,2,4,4,1,1,2,-1, ,1,0,0,0, ,1,1,0,0,0,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,5, ,239,-2, ,239,239,1, , ,American,0,1,1996, ,1
8,1,101,4,8,3,1,50,0,1,0,0,0,0,0, ,1,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,1,0,0, ,8, ,1,0,0,0,0,0,0, ,4,100,20,-2,-2,-2,100,4,4,4,4,1,-1,-1,2,-1,1,-1, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,2,2,2,1,1,3,2,-1, ,1,0,0,0, ,-1,-1,-1,-1,-1,-1,-1,-1, ,-2,-2,-2,-2,-2,-2,-2,-2, ,0,4,4,4,4,16,2, ,239,-2, ,-1,149,3, , ,Mexican-American,0,2,1990, ,1
9,1,101,4,8,3,1,50,0,0,0,0,1,0,0, ,1,0,0,1,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0, ,8,It gives you more knowledgement.,1,0,0,0,0,0,0, ,4,100,-2,-2,-2,-2,100,2,2,3,2,1,1,1,1,1,3,-1, ,1,100,-2,1,100,-2,-2,1,-1,-1,-1,0,-2,-2,-2,0,1,3,2,2,1,1,1,1,-1, ,0,1,0,0, ,0,0,0,0,1,0,0,0, ,0,0,0,0,0,1,0,0, ,0,4,3,3,4,14,2, ,149,18, ,149,149,3, , ,Mexican,1,1,1994, ,1
10,1,101,4,8,3,1,50,0,0,1,1,1,1,0, ,1,0,0,1,1,1,0,0,1,communicate in country,0,0,0,1,0,0,1,0,0, ,8,"In today's world, speaking multiple languages definately opens up more opportunities in life, business, and fun.",0,0,0,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,1,2,2,7,1,4,2,3,Gym,1,0,0,0, ,0,0,1,1,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,6, ,239,-2, ,238,122,5, , ,Mixed: White+Asian,0,1,1994, ,1
56,4,101,4,8,3,1,60,0,1,0,0,1,0,0, ,2,0,1,0,0,1,0,0,0, ,0,1,0,0,0,0,1,0,0, ,10,There are more job opportunities.,1,0,0,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,2,2,7,1,5,1,-1, ,1,0,0,0, ,0,1,0,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,0,3,3,3,3,12,3, ,149,18, ,149,149,3, , ,-1,0,1,1977,Good Teacher. 100% good.,2
57,4,101,4,8,3,1,60,0,0,0,0,1,0,0, ,2,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,0,0,1,Travelling to Italy,10, ,1,0,0,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,0,1,2,-1,-1,-1,-1,2,-1, ,1,0,0,0, ,0,0,0,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,4, ,239,-2, ,239,239,1, , ,-1,0,2,1953, ,2
